Track Name,artists,popularity,release_year,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
All Your Friends,The Snuts,36,2021,True,0.603,0.866,4,-3.021,1,0.104,0.00641,0.0,0.0698,0.317,134.989,208253,4,4
Burn the Empire,The Snuts,38,2022,True,0.244,0.88,4,-4.448,0,0.141,0.000614,0.0,0.208,0.386,75.402,187787,3,4
Zuckerpunch,The Snuts,42,2022,False,0.653,0.716,7,-5.103,0,0.035,0.0167,4.06e-05,0.219,0.635,110.968,150213,4,6
It's Thunder and It's Lightning,We Were Promised Jetpacks,43,2009,False,0.194,0.918,2,-5.083,1,0.0812,0.047,0.0149,0.115,0.198,84.081,288933,4,4
Coco,Milo Gore,5,2017,False,0.571,0.574,0,-7.503,1,0.0427,0.15,0.0,0.0997,0.475,84.856,228125,4,6
Run Run Run,The Libertines,54,2023,False,0.414,0.925,10,-2.967,1,0.0456,0.0015,0.0,0.128,0.581,162.08,173028,4,6
Jackie And Wilson,Hozier,68,2014,False,0.566,0.712,6,-4.201,1,0.0334,0.0687,1.3e-05,0.124,0.753,82.193,223120,4,5
I Don't Want You Anymore,Brighid Nora,1,2022,True,0.389,0.568,10,-6.309,0,0.0341,0.0901,0.0,0.101,0.207,183.9,212772,4,4
The Night We Met,Lord Huron,91,2015,False,0.544,0.369,2,-9.514,1,0.038,0.969,0.279,0.639,0.102,87.01,208212,3,1
Where'd All the Time Go?,Dr. Dog,79,2010,False,0.454,0.82,2,-4.193,1,0.0567,0.132,0.000969,0.115,0.575,166.303,234800,4,6
This Life,Vampire Weekend,63,2019,False,0.62,0.712,9,-6.434,1,0.1,0.228,3.39e-06,0.0561,0.83,170.234,268600,4,5
We Could Be Friends,Milo Gore,23,2024,False,0.456,0.542,0,-9.741,1,0.0404,0.554,0.000642,0.095,0.322,84.687,229545,4,1
